window_id,packet_count,total_bytes,duration,size_mean,size_std,size_min,size_max,size_median,size_q25,size_q75,iat_mean,iat_std,iat_min,iat_max,iat_median,ratio_dot11,ratio_ip,ratio_tcp,ratio_udp,ratio_ether,dot11_mgmt_ratio,dot11_ctrl_ratio,dot11_data_ratio,dot11_retry_ratio,ip_len_mean,ip_ttl_mean,ip_proto_variety,tcp_port_variety,tcp_flags_variety,tcp_window_mean,rssi_mean,rssi_std,rssi_min,rssi_max,window_start,window_end,label,filename
10,2629,2841414,1.6519131660461426,1080.7965005705591,454.304524813785,52.0,1292.0,1292.0,1292.0,1292.0,0.0008567603386216806,0.013081982276084524,9.5367431640625e-07,0.5679528713226318,2.4080276489257812e-05,0.0,0.99885888170407,0.0,0.99885888170407,0.99961962723469,0.0,0.0,0.0,0.0,1067.7475247524753,107.0921553693831,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760652175.291311,1760652177.291311,0,normal_20251016_170234.pcap
11,404,212355,1.9724071025848389,525.6311881188119,561.2011313193498,52.0,2922.0,143.0,75.0,1292.0,0.0052022015117578,0.017503148404200346,9.5367431640625e-07,0.19674396514892578,0.00010204315185546875,0.0,0.9975247524752475,0.07178217821782178,0.9257425742574258,0.9975247524752475,0.0,0.0,0.0,0.0,512.8064516129032,65.23821339950372,2.0,4.0,2.0,331.44827586206895,0.0,0.0,0.0,0.0,1760652177.291311,1760652179.291311,0,normal_20251016_170234.pcap
12,1126,1117523,1.9629759788513184,992.4715808170515,514.0580344155602,42.0,1292.0,1292.0,775.5,1292.0,0.0017882391864211982,0.013396034203890256,9.5367431640625e-07,0.2854900360107422,2.6106834411621094e-05,0.0,0.9964476021314387,0.0,0.9955595026642984,0.9991119005328597,0.0,0.0,0.0,0.0,981.7388591800357,83.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760652179.291311,1760652181.291311,0,normal_20251016_170234.pcap
13,1456,1516731,1.3947250843048096,1041.7108516483515,486.008798351024,50.0,2866.0,1274.0,1274.0,1292.0,0.0013766219170247623,0.01748790682198079,9.5367431640625e-07,0.5862338542938232,2.4080276489257812e-05,0.0,0.9979395604395604,0.054945054945054944,0.9423076923076923,0.9993131868131868,0.0,0.0,0.0,0.0,1029.6813489332417,88.46455609084653,3.0,3.0,4.0,2151.35,0.0,0.0,0.0,0.0,1760652181.291311,1760652183.291311,0,normal_20251016_170234.pcap
14,55,17171,1.6779258251190186,312.2,427.35722762110856,52.0,1446.0,101.0,66.0,219.0,0.03413297953429045,0.08287326411016636,9.5367431640625e-07,0.46521997451782227,0.0002855062484741211,0.0,0.9818181818181818,0.6909090909090909,0.2909090909090909,0.9818181818181818,0.0,0.0,0.0,0.0,303.01851851851853,60.074074074074076,2.0,3.0,4.0,3629.7105263157896,0.0,0.0,0.0,0.0,1760652183.291311,1760652185.291311,0,normal_20251016_170234.pcap
15,283,284551,1.9288818836212158,1005.4805653710247,502.83007804517194,52.0,1292.0,1292.0,1056.5,1292.0,0.007735334711966755,0.04646807878701472,9.5367431640625e-07,0.5575180053710938,2.6941299438476562e-05,0.0,0.9893992932862191,0.0,0.9893992932862191,0.9964664310954063,0.0,0.0,0.0,0.0,999.5928571428572,104.57857142857142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760652185.291311,1760652187.291311,0,normal_20251016_170234.pcap
16,2859,3068632,1.4733271598815918,1073.3235396991956,446.0969165622282,52.0,1292.0,1274.0,1274.0,1292.0,0.0007003277203457503,0.010128384146770725,9.5367431640625e-07,0.5100009441375732,2.4080276489257812e-05,0.0,0.9993004547044421,0.0,0.9993004547044421,0.9996502273522211,0.0,0.0,0.0,0.0,1060.0357017850893,72.69583479173959,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760652187.291311,1760652189.291311,0,normal_20251016_170234.pcap
17,749,663757,1.9200949668884277,886.1909212283044,541.2396640381806,42.0,1292.0,1274.0,90.0,1274.0,0.002723994616893572,0.022567997934921525,9.5367431640625e-07,0.5100150108337402,2.6941299438476562e-05,0.0,0.9973297730307076,0.0,0.9973297730307076,0.9986648865153538,0.0,0.0,0.0,0.0,874.437751004016,56.80053547523427,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760652189.291311,1760652191.291311,0,normal_20251016_170234.pcap
18,949,974887,1.9725711345672607,1027.2781875658588,468.9301817510269,42.0,1292.0,1274.0,1274.0,1274.0,0.0022292819819584846,0.020580500345217405,9.5367431640625e-07,0.478010892868042,2.47955322265625e-05,0.0,0.9978925184404637,0.0,0.9978925184404637,0.9989462592202318,0.0,0.0,0.0,0.0,1015.3484688489968,55.49947201689546,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760652191.291311,1760652193.291311,0,normal_20251016_170234.pcap
19,423,438635,1.9276399612426758,1036.9621749408984,484.0799045778615,52.0,1292.0,1292.0,1274.0,1292.0,0.004625873520152381,0.040729951163665463,9.5367431640625e-07,0.6146531105041504,2.4080276489257812e-05,0.0,0.9976359338061466,0.0,0.9976359338061466,0.9976359338061466,0.0,0.0,0.0,0.0,1025.2962085308056,103.61137440758294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760652193.291311,1760652195.291311,0,normal_20251016_170234.pcap
20,13,5741,1.8876597881317139,441.61538461538464,454.66536017557985,52.0,1287.0,176.0,90.0,741.0,0.1580361402951754,0.31149087382755447,2.6941299438476562e-05,0.8775110244750977,0.012565851211547852,0.0,0.9230769230769231,0.0,0.9230769230769231,0.9230769230769231,0.0,0.0,0.0,0.0,460.0833333333333,60.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760652195.291311,1760652197.291311,0,normal_20251016_170234.pcap
21,232,219281,1.5358500480651855,945.176724137931,529.002687225928,42.0,1292.0,1292.0,176.0,1292.0,0.007845230973683871,0.03770055166859923,9.5367431640625e-07,0.3651759624481201,2.300739288330078e-05,0.0,0.978448275862069,0.0,0.978448275862069,0.9956896551724138,0.0,0.0,0.0,0.0,948.3436123348017,99.68281938325991,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760652197.291311,1760652199.291311,0,normal_20251016_170234.pcap
22,52,24553,1.2292702198028564,472.1730769230769,514.6244288705568,52.0,1292.0,104.0,81.0,1082.0,0.03841342031955719,0.12784694561226664,9.5367431640625e-07,0.6460731029510498,0.002169966697692871,0.0,0.9807692307692307,0.0,0.9807692307692307,0.9807692307692307,0.0,0.0,0.0,0.0,466.4117647058824,59.333333333333336,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760652199.291311,1760652201.291311,0,normal_20251016_170234.pcap
23,31,14053,1.9160730838775635,453.3225806451613,519.0437609744015,52.0,1286.0,137.0,86.0,1063.5,0.08724782384675124,0.19811554827493827,9.5367431640625e-07,0.6409890651702881,0.0014841556549072266,0.0,0.9354838709677419,0.0967741935483871,0.8387096774193549,0.967741935483871,0.0,0.0,0.0,0.0,466.7241379310345,58.13793103448276,2.0,2.0,2.0,267.6666666666667,0.0,0.0,0.0,0.0,1760652201.291311,1760652203.291311,0,normal_20251016_170234.pcap
